USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 225696  9500 ?        Ss   11月04   0:08 /sbin/init splash
root      1285  0.2  0.0      0     0 ?        S    11月04   3:50 [irq/75-nvidia]
root      1286  0.0  0.0      0     0 ?        S    11月04   0:00 [nvidia]
linxp     1323  0.0  0.0  29960  5284 pts/13   Ss+  16:39   0:00 /bin/bash
root      1338  0.0  0.0 322408  8608 ?        Ssl  11月04   0:00 /usr/lib/upower/upowerd
gdm       1380  0.0  0.0 1385540 37140 tty1    Sl+  11月04   0:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1399  0.0  0.0 349272  6396 ?        Ssl  11月04   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm       1404  0.0  0.0  49928  3832 ?        S    11月04   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm       1406  0.0  0.0 220764  7164 ?        Sl   11月04   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm       1410  0.0  0.0 1081896 11000 ?       Ssl  11月04   0:00 /usr/bin/pulseaudio --daemonize=no
rtkit     1411  0.0  0.0 183504  3048 ?        SNsl 11月04   0:00 /usr/lib/rtkit/rtkit-daemon
root      1415  0.0  0.0      0     0 ?        S    11月04   0:00 [UVM GPU2 BH]
root      1416  0.0  0.0      0     0 ?        S    11月04   0:00 [UVM GPU2 KC]
whoopsie  1418  0.0  0.0 390576 12576 ?        Ssl  11月04   0:00 /usr/bin/whoopsie -f
kernoops  1425  0.0  0.0  56940   420 ?        Ss   11月04   0:01 /usr/sbin/kerneloops --test
kernoops  1429  0.0  0.0  56940   424 ?        Ss   11月04   0:01 /usr/sbin/kerneloops
root      1615  0.0  0.0  67376  3920 ?        Ss   11月04   0:00 /usr/lib/postfix/sbin/master -w
postfix   1617  0.0  0.0  73860  5216 ?        S    11月04   0:00 qmgr -l -t unix -u
gdm       1643  0.0  0.0 361636  7792 tty1     Sl   11月04   0:00 ibus-daemon --xim --panel disable
gdm       1646  0.0  0.0 280908  6068 tty1     Sl   11月04   0:00 /usr/lib/ibus/ibus-dconf
gdm       1648  0.0  0.0 271724  5248 ?        Ssl  11月04   0:00 /usr/libexec/xdg-permission-store
gdm       1650  0.0  0.0 1654688 48464 tty1    Sl   11月04   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm       1658  0.0  0.0 278852  6132 ?        Sl   11月04   0:00 /usr/lib/ibus/ibus-portal
